song_id,artists,name,release_date,year,popularity
68iMdxXn1timrxURm9dR8C,Glee Cast,The Scientist (Glee Cast Version),27/11/2012,2012,59
3m0jPrfDlp38tu7JYdWLch,Larry Hernández,Gente VIP,01/01/2012,2012,53
4fiYSa6ln7h0scprgNEs0g,The Weeknd,Thursday,01/01/2012,2012,53
1X0SntFiNVcIaaXxG7cJmc,Conjunto Primavera,Actos De Un Tonto,01/01/2012,2012,56
52ngXhcqJzGyKVDup7HzGr,The Veer Union,Bitter End,25/03/2012,2012,54
7eMpW9I1ZpVs6VQ90naDBh,WALK THE MOON,Jenny,19/06/2012,2012,50
1ylAZvYmCfNIZIDQdR0ky0,Sabaton,Carolus Rex - English Version,25/05/2012,2012,48
1tjHKKI0r82IB5KL29whHs,Muse,Panic Station,24/09/2012,2012,60
4eikGjsVckaHl3VcaZKzOg,"Machine Gun Kelly', 'Dubo', 'DJ Xplosive",EST 4 Life,01/01/2012,2012,51
6rsXPxIVXPo4bPhZA5vLUX,Lana Del Rey,Body Electric,12/11/2012,2012,48
0cM8o3yHz5pSpXtZEAZcgq,"Palomo', 'Oscar Iván Trevíno",Mi Obsesión,01/01/2012,2012,56
1c6C2wg7PRbPBRRUaEvheC,Kyary Pamyu Pamyu,PONPONPON,11/01/2012,2012,56
7rMDB1bKHO0Sh8oTWWvdsJ,Mumford & Sons,Lovers' Eyes,25/09/2012,2012,49
1Cy71Rb6aB5EjVYVYvVFIx,Rascal Flatts,Let It Hurt,01/01/2012,2012,48
5pF6yJ6UGGxeOhCkzRliSR,Allen Stone,Unaware,26/06/2012,2012,50
